model,condition,seed,n_ontology_features,ontology_features,macro_f1,accuracy,support_negative,support_neutral,support_positive,f1_negative,f1_neutral,f1_positive,best_epoch,best_val_macro_f1,runtime_seconds,device,semantic_input_profile,classifier_head
CNN1D,BSL,42,0,,0.5174988293267863,0.5975232198142415,48,119,156,0.3333333333333333,0.5069124423963134,0.7122507122507122,8,0.5922011318021925,531.6444,cpu,text_only,pooled_plus_optional_semantic_to_hidden128_to_output
CNN1D,ENR_full_37,42,37,ont_InteligenciaArtificial_Positivo|ont_InteligenciaArtificial_Negativo|ont_InteligenciaArtificial_Neutro|ont_AprendizajeAutomatico_Positivo|ont_AprendizajeAutomatico_Negativo|ont_AprendizajeAutomatico_Neutro|ont_Tecnologia_Positivo|ont_Tecnologia_Negativo|ont_Tecnologia_Neutro|ont_Futuro_Positivo|ont_Futuro_Negativo|ont_Futuro_Neutro|ont_Datos_Positivo|ont_Datos_Negativo|ont_Datos_Neutro|ont_Algoritmo_Positivo|ont_Algoritmo_Negativo|ont_Algoritmo_Neutro|ont_Robot_Positivo|ont_Robot_Negativo|ont_Robot_Neutro|ont_Automatizacion_Positivo|ont_Automatizacion_Negativo|ont_Automatizacion_Neutro|ont_Etica_Positivo|ont_Etica_Negativo|ont_Etica_Neutro|ont_Innovacion_Positivo|ont_Innovacion_Negativo|ont_Innovacion_Neutro|ont_has_ontology_elements|ont_count_domain_concepts|ont_total_positivo_mentions|ont_total_negativo_mentions|ont_total_neutro_mentions|ont_domain_score|ont_domain_density,0.5425421069149493,0.6191950464396285,48,119,156,0.3291139240506329,0.5785123966942148,0.72,4,0.5633234956006544,369.7648,cpu,train_standardized_float32,pooled_plus_optional_semantic_to_hidden128_to_output
CNN1D,ENR_selected,42,6,ont_domain_density|ont_total_negativo_mentions|ont_InteligenciaArtificial_Negativo|ont_Innovacion_Neutro|ont_Etica_Negativo|ont_Tecnologia_Neutro,0.5357843122229137,0.6130030959752322,48,119,156,0.3287671232876712,0.5691056910569106,0.709480122324159,7,0.5436576304743747,491.9583,cpu,train_standardized_float32,pooled_plus_optional_semantic_to_hidden128_to_output
CNN1D,drop_ai,42,34,ont_AprendizajeAutomatico_Positivo|ont_AprendizajeAutomatico_Negativo|ont_AprendizajeAutomatico_Neutro|ont_Tecnologia_Positivo|ont_Tecnologia_Negativo|ont_Tecnologia_Neutro|ont_Futuro_Positivo|ont_Futuro_Negativo|ont_Futuro_Neutro|ont_Datos_Positivo|ont_Datos_Negativo|ont_Datos_Neutro|ont_Algoritmo_Positivo|ont_Algoritmo_Negativo|ont_Algoritmo_Neutro|ont_Robot_Positivo|ont_Robot_Negativo|ont_Robot_Neutro|ont_Automatizacion_Positivo|ont_Automatizacion_Negativo|ont_Automatizacion_Neutro|ont_Etica_Positivo|ont_Etica_Negativo|ont_Etica_Neutro|ont_Innovacion_Positivo|ont_Innovacion_Negativo|ont_Innovacion_Neutro|ont_has_ontology_elements|ont_count_domain_concepts|ont_total_positivo_mentions|ont_total_negativo_mentions|ont_total_neutro_mentions|ont_domain_score|ont_domain_density,0.5249231262593086,0.6068111455108359,48,119,156,0.2894736842105263,0.5849802371541502,0.7003154574132492,7,0.5376984126984127,485.7066,cpu,train_standardized_float32,pooled_plus_optional_semantic_to_hidden128_to_output
CNN1D,drop_ml,42,34,ont_InteligenciaArtificial_Positivo|ont_InteligenciaArtificial_Negativo|ont_InteligenciaArtificial_Neutro|ont_Tecnologia_Positivo|ont_Tecnologia_Negativo|ont_Tecnologia_Neutro|ont_Futuro_Positivo|ont_Futuro_Negativo|ont_Futuro_Neutro|ont_Datos_Positivo|ont_Datos_Negativo|ont_Datos_Neutro|ont_Algoritmo_Positivo|ont_Algoritmo_Negativo|ont_Algoritmo_Neutro|ont_Robot_Positivo|ont_Robot_Negativo|ont_Robot_Neutro|ont_Automatizacion_Positivo|ont_Automatizacion_Negativo|ont_Automatizacion_Neutro|ont_Etica_Positivo|ont_Etica_Negativo|ont_Etica_Neutro|ont_Innovacion_Positivo|ont_Innovacion_Negativo|ont_Innovacion_Neutro|ont_has_ontology_elements|ont_count_domain_concepts|ont_total_positivo_mentions|ont_total_negativo_mentions|ont_total_neutro_mentions|ont_domain_score|ont_domain_density,0.5129006533977759,0.6006191950464397,48,119,156,0.29850746268656714,0.5407725321888412,0.6994219653179191,11,0.5549220944692864,626.8058,cpu,train_standardized_float32,pooled_plus_optional_semantic_to_hidden128_to_output
CNN1D,drop_technology,42,34,ont_InteligenciaArtificial_Positivo|ont_InteligenciaArtificial_Negativo|ont_InteligenciaArtificial_Neutro|ont_AprendizajeAutomatico_Positivo|ont_AprendizajeAutomatico_Negativo|ont_AprendizajeAutomatico_Neutro|ont_Futuro_Positivo|ont_Futuro_Negativo|ont_Futuro_Neutro|ont_Datos_Positivo|ont_Datos_Negativo|ont_Datos_Neutro|ont_Algoritmo_Positivo|ont_Algoritmo_Negativo|ont_Algoritmo_Neutro|ont_Robot_Positivo|ont_Robot_Negativo|ont_Robot_Neutro|ont_Automatizacion_Positivo|ont_Automatizacion_Negativo|ont_Automatizacion_Neutro|ont_Etica_Positivo|ont_Etica_Negativo|ont_Etica_Neutro|ont_Innovacion_Positivo|ont_Innovacion_Negativo|ont_Innovacion_Neutro|ont_has_ontology_elements|ont_count_domain_concepts|ont_total_positivo_mentions|ont_total_negativo_mentions|ont_total_neutro_mentions|ont_domain_score|ont_domain_density,0.5065241832695193,0.5820433436532507,48,119,156,0.3170731707317073,0.5022026431718062,0.7002967359050445,8,0.5592504409171076,511.2912,cpu,train_standardized_float32,pooled_plus_optional_semantic_to_hidden128_to_output
CNN1D,drop_future,42,34,ont_InteligenciaArtificial_Positivo|ont_InteligenciaArtificial_Negativo|ont_InteligenciaArtificial_Neutro|ont_AprendizajeAutomatico_Positivo|ont_AprendizajeAutomatico_Negativo|ont_AprendizajeAutomatico_Neutro|ont_Tecnologia_Positivo|ont_Tecnologia_Negativo|ont_Tecnologia_Neutro|ont_Datos_Positivo|ont_Datos_Negativo|ont_Datos_Neutro|ont_Algoritmo_Positivo|ont_Algoritmo_Negativo|ont_Algoritmo_Neutro|ont_Robot_Positivo|ont_Robot_Negativo|ont_Robot_Neutro|ont_Automatizacion_Positivo|ont_Automatizacion_Negativo|ont_Automatizacion_Neutro|ont_Etica_Positivo|ont_Etica_Negativo|ont_Etica_Neutro|ont_Innovacion_Positivo|ont_Innovacion_Negativo|ont_Innovacion_Neutro|ont_has_ontology_elements|ont_count_domain_concepts|ont_total_positivo_mentions|ont_total_negativo_mentions|ont_total_neutro_mentions|ont_domain_score|ont_domain_density,0.4639413337654972,0.5696594427244582,48,119,156,0.3170731707317073,0.36046511627906974,0.7142857142857143,6,0.5337647631880262,441.7357,cpu,train_standardized_float32,pooled_plus_optional_semantic_to_hidden128_to_output
CNN1D,drop_data,42,34,ont_InteligenciaArtificial_Positivo|ont_InteligenciaArtificial_Negativo|ont_InteligenciaArtificial_Neutro|ont_AprendizajeAutomatico_Positivo|ont_AprendizajeAutomatico_Negativo|ont_AprendizajeAutomatico_Neutro|ont_Tecnologia_Positivo|ont_Tecnologia_Negativo|ont_Tecnologia_Neutro|ont_Futuro_Positivo|ont_Futuro_Negativo|ont_Futuro_Neutro|ont_Algoritmo_Positivo|ont_Algoritmo_Negativo|ont_Algoritmo_Neutro|ont_Robot_Positivo|ont_Robot_Negativo|ont_Robot_Neutro|ont_Automatizacion_Positivo|ont_Automatizacion_Negativo|ont_Automatizacion_Neutro|ont_Etica_Positivo|ont_Etica_Negativo|ont_Etica_Neutro|ont_Innovacion_Positivo|ont_Innovacion_Negativo|ont_Innovacion_Neutro|ont_has_ontology_elements|ont_count_domain_concepts|ont_total_positivo_mentions|ont_total_negativo_mentions|ont_total_neutro_mentions|ont_domain_score|ont_domain_density,0.5204562256617051,0.6068111455108359,48,119,156,0.3116883116883117,0.5296803652968036,0.72,8,0.5463785666960647,513.0862,cpu,train_standardized_float32,pooled_plus_optional_semantic_to_hidden128_to_output
CNN1D,drop_algorithm,42,34,ont_InteligenciaArtificial_Positivo|ont_InteligenciaArtificial_Negativo|ont_InteligenciaArtificial_Neutro|ont_AprendizajeAutomatico_Positivo|ont_AprendizajeAutomatico_Negativo|ont_AprendizajeAutomatico_Neutro|ont_Tecnologia_Positivo|ont_Tecnologia_Negativo|ont_Tecnologia_Neutro|ont_Futuro_Positivo|ont_Futuro_Negativo|ont_Futuro_Neutro|ont_Datos_Positivo|ont_Datos_Negativo|ont_Datos_Neutro|ont_Robot_Positivo|ont_Robot_Negativo|ont_Robot_Neutro|ont_Automatizacion_Positivo|ont_Automatizacion_Negativo|ont_Automatizacion_Neutro|ont_Etica_Positivo|ont_Etica_Negativo|ont_Etica_Neutro|ont_Innovacion_Positivo|ont_Innovacion_Negativo|ont_Innovacion_Neutro|ont_has_ontology_elements|ont_count_domain_concepts|ont_total_positivo_mentions|ont_total_negativo_mentions|ont_total_neutro_mentions|ont_domain_score|ont_domain_density,0.5065467631767652,0.6006191950464397,48,119,156,0.3287671232876712,0.46938775510204084,0.7214854111405835,6,0.5345844382493598,425.1932,cpu,train_standardized_float32,pooled_plus_optional_semantic_to_hidden128_to_output
CNN1D,drop_robot,42,34,ont_InteligenciaArtificial_Positivo|ont_InteligenciaArtificial_Negativo|ont_InteligenciaArtificial_Neutro|ont_AprendizajeAutomatico_Positivo|ont_AprendizajeAutomatico_Negativo|ont_AprendizajeAutomatico_Neutro|ont_Tecnologia_Positivo|ont_Tecnologia_Negativo|ont_Tecnologia_Neutro|ont_Futuro_Positivo|ont_Futuro_Negativo|ont_Futuro_Neutro|ont_Datos_Positivo|ont_Datos_Negativo|ont_Datos_Neutro|ont_Algoritmo_Positivo|ont_Algoritmo_Negativo|ont_Algoritmo_Neutro|ont_Automatizacion_Positivo|ont_Automatizacion_Negativo|ont_Automatizacion_Neutro|ont_Etica_Positivo|ont_Etica_Negativo|ont_Etica_Neutro|ont_Innovacion_Positivo|ont_Innovacion_Negativo|ont_Innovacion_Neutro|ont_has_ontology_elements|ont_count_domain_concepts|ont_total_positivo_mentions|ont_total_negativo_mentions|ont_total_neutro_mentions|ont_domain_score|ont_domain_density,0.46444065318059957,0.56656346749226,48,119,156,0.26666666666666666,0.42424242424242425,0.7024128686327078,20,0.5606554016971619,763.0953,cpu,train_standardized_float32,pooled_plus_optional_semantic_to_hidden128_to_output
