model,condition,seed,macro_f1,accuracy
LR,BSL,42,0.5773,0.6316
LR,ENR,42,0.5863,0.6409
RF,BSL,42,0.6028,0.6471
RF,ENR,42,0.5974,0.6347
XGB,BSL,42,0.5424,0.6285
XGB,ENR,42,0.5536,0.6409
CNN1D,BSL,42,0.5175,0.5975
CNN1D,ENR,42,0.5358,0.613
LR,BSL,123,0.5773,0.6316
LR,ENR,123,0.5863,0.6409
RF,BSL,123,0.5894,0.6378
RF,ENR,123,0.5966,0.6409
XGB,BSL,123,0.5195,0.6192
XGB,ENR,123,0.5707,0.6533
CNN1D,BSL,123,0.5182,0.6161
CNN1D,ENR,123,0.5241,0.6099
LR,BSL,2024,0.5773,0.6316
LR,ENR,2024,0.5863,0.6409
RF,BSL,2024,0.5919,0.6347
RF,ENR,2024,0.6031,0.6502
XGB,BSL,2024,0.5237,0.6161
XGB,ENR,2024,0.5289,0.6347
CNN1D,BSL,2024,0.487,0.6068
CNN1D,ENR,2024,0.5225,0.6223
