variant_id,context_window,minimum_frequency,minimum_absolute_valence,maximum_absolute_context_weight,lexicon_size,positive_terms,negative_terms,train_context_token_count,train_context_vocabulary_size,selected_feature_count,selected_features,posts_with_any_ontology_feature,overall_activation_pct,posts_with_selected_feature,selected_activation_pct,rdf_triple_count,concept_assertion_count,nonzero_activation_count,nonzero_selected_activations,selected_trace_rate_pct,shacl_conforms,shacl_validation_result_count,variant_dir,variant_status,error,reused_from_pilot
w2_f1_v0p25_c2p0,2,1,0.25,2.0,133.0,74.0,59.0,2236.0,1275.0,7.0,ont_domain_density;ont_total_negativo_mentions;ont_Datos_Negativo;ont_InteligenciaArtificial_Negativo;ont_Etica_Negativo;ont_Innovacion_Positivo;ont_Tecnologia_Neutro,1489.0,92.25526641883519,1408.0,87.2366790582404,14827.0,1901.0,9310.0,1793.0,100.0,True,0.0,results/sensitivity/w2_f1_v0p25_c2p0,passed,,
w2_f1_v0p5_c2p0,2,1,0.5,2.0,128.0,72.0,56.0,2236.0,1275.0,7.0,ont_domain_density;ont_total_negativo_mentions;ont_Datos_Negativo;ont_InteligenciaArtificial_Negativo;ont_Etica_Negativo;ont_Innovacion_Positivo;ont_Tecnologia_Neutro,1489.0,92.25526641883519,1408.0,87.2366790582404,14827.0,1901.0,9310.0,1793.0,100.0,True,0.0,results/sensitivity/w2_f1_v0p5_c2p0,passed,,
w2_f1_v1p0_c2p0,2,1,1.0,2.0,114.0,68.0,46.0,2236.0,1275.0,7.0,ont_domain_density;ont_total_negativo_mentions;ont_Etica_Negativo;ont_Innovacion_Positivo;ont_Datos_Negativo;ont_InteligenciaArtificial_Negativo;ont_Tecnologia_Neutro,1489.0,92.25526641883519,1408.0,87.2366790582404,14827.0,1901.0,9304.0,1775.0,100.0,True,0.0,results/sensitivity/w2_f1_v1p0_c2p0,passed,,
w2_f1_v1p5_c2p0,2,1,1.5,2.0,79.0,49.0,30.0,2236.0,1275.0,6.0,ont_domain_density;ont_Datos_Negativo;ont_total_negativo_mentions;ont_Innovacion_Positivo;ont_Tecnologia_Neutro;ont_Innovacion_Neutro,1489.0,92.25526641883519,1408.0,87.2366790582404,14827.0,1901.0,9252.0,1732.0,100.0,True,0.0,results/sensitivity/w2_f1_v1p5_c2p0,passed,,
w2_f1_v2p0_c2p0,2,1,2.0,2.0,37.0,20.0,17.0,2236.0,1275.0,5.0,ont_domain_density;ont_Datos_Negativo;ont_Innovacion_Neutro;ont_total_negativo_mentions;ont_Tecnologia_Neutro,1489.0,92.25526641883519,1408.0,87.2366790582404,14827.0,1901.0,9094.0,1720.0,100.0,True,0.0,results/sensitivity/w2_f1_v2p0_c2p0,passed,,
w2_f2_v0p25_c2p0,2,2,0.25,2.0,38.0,28.0,10.0,2236.0,1275.0,6.0,ont_domain_density;ont_total_negativo_mentions;ont_InteligenciaArtificial_Negativo;ont_Innovacion_Neutro;ont_Etica_Negativo;ont_Tecnologia_Neutro,1489.0,92.25526641883519,1408.0,87.2366790582404,14827.0,1901.0,9197.0,1724.0,100.0,True,0.0,results/sensitivity/w2_f2_v0p25_c2p0,passed,,
w2_f2_v0p5_c2p0,2,2,0.5,2.0,37.0,28.0,9.0,2236.0,1275.0,6.0,ont_domain_density;ont_total_negativo_mentions;ont_InteligenciaArtificial_Negativo;ont_Innovacion_Neutro;ont_Etica_Negativo;ont_Tecnologia_Neutro,1489.0,92.25526641883519,1408.0,87.2366790582404,14827.0,1901.0,9197.0,1724.0,100.0,True,0.0,results/sensitivity/w2_f2_v0p5_c2p0,passed,,
w2_f2_v1p0_c2p0,2,2,1.0,2.0,34.0,27.0,7.0,2236.0,1275.0,6.0,ont_domain_density;ont_total_negativo_mentions;ont_InteligenciaArtificial_Negativo;ont_Innovacion_Neutro;ont_Etica_Negativo;ont_Tecnologia_Neutro,1489.0,92.25526641883519,1408.0,87.2366790582404,14827.0,1901.0,9192.0,1715.0,100.0,True,0.0,results/sensitivity/w2_f2_v1p0_c2p0,passed,,
w2_f2_v1p5_c2p0,2,2,1.5,2.0,22.0,19.0,3.0,2236.0,1275.0,5.0,ont_domain_density;ont_total_negativo_mentions;ont_InteligenciaArtificial_Negativo;ont_Innovacion_Neutro;ont_Tecnologia_Neutro,1489.0,92.25526641883519,1408.0,87.2366790582404,14827.0,1901.0,9159.0,1698.0,100.0,True,0.0,results/sensitivity/w2_f2_v1p5_c2p0,passed,,
w2_f2_v2p0_c2p0,2,2,2.0,2.0,10.0,8.0,2.0,2236.0,1275.0,3.0,ont_domain_density;ont_Innovacion_Neutro;ont_Tecnologia_Neutro,1489.0,92.25526641883519,1408.0,87.2366790582404,14827.0,1901.0,9045.0,1684.0,100.0,True,0.0,results/sensitivity/w2_f2_v2p0_c2p0,passed,,
w2_f3_v0p25_c2p0,2,3,0.25,2.0,14.0,10.0,4.0,2236.0,1275.0,5.0,ont_domain_density;ont_total_negativo_mentions;ont_InteligenciaArtificial_Negativo;ont_Innovacion_Neutro;ont_Tecnologia_Neutro,1489.0,92.25526641883519,1408.0,87.2366790582404,14827.0,1901.0,9128.0,1703.0,100.0,True,0.0,results/sensitivity/w2_f3_v0p25_c2p0,passed,,
w2_f3_v0p5_c2p0,2,3,0.5,2.0,14.0,10.0,4.0,2236.0,1275.0,5.0,ont_domain_density;ont_total_negativo_mentions;ont_InteligenciaArtificial_Negativo;ont_Innovacion_Neutro;ont_Tecnologia_Neutro,1489.0,92.25526641883519,1408.0,87.2366790582404,14827.0,1901.0,9128.0,1703.0,100.0,True,0.0,results/sensitivity/w2_f3_v0p5_c2p0,passed,,
w2_f3_v1p0_c2p0,2,3,1.0,2.0,12.0,10.0,2.0,2236.0,1275.0,5.0,ont_domain_density;ont_total_negativo_mentions;ont_Innovacion_Neutro;ont_InteligenciaArtificial_Negativo;ont_Tecnologia_Neutro,1489.0,92.25526641883519,1408.0,87.2366790582404,14827.0,1901.0,9127.0,1694.0,100.0,True,0.0,results/sensitivity/w2_f3_v1p0_c2p0,passed,,
w2_f3_v1p5_c2p0,2,3,1.5,2.0,7.0,6.0,1.0,2236.0,1275.0,5.0,ont_domain_density;ont_InteligenciaArtificial_Negativo;ont_total_negativo_mentions;ont_Innovacion_Neutro;ont_Tecnologia_Neutro,1489.0,92.25526641883519,1408.0,87.2366790582404,14827.0,1901.0,9104.0,1689.0,100.0,True,0.0,results/sensitivity/w2_f3_v1p5_c2p0,passed,,
w2_f3_v2p0_c2p0,2,3,2.0,2.0,,,,,,,,,,,,,,,,,False,,results/sensitivity/w2_f3_v2p0_c2p0,invalid,Lexicon manifest lacks combined positive/negative entries: JOWS/revisions/campaign_f123_20260914/package/results/sensitivity/w2_f3_v2p0_c2p0/lexicon_manifest.json,
w2_f5_v0p25_c2p0,2,5,0.25,2.0,,,,,,,,,,,,,,,,,False,,results/sensitivity/w2_f5_v0p25_c2p0,invalid,Lexicon manifest lacks combined positive/negative entries: JOWS/revisions/campaign_f123_20260914/package/results/sensitivity/w2_f5_v0p25_c2p0/lexicon_manifest.json,
w2_f5_v0p5_c2p0,2,5,0.5,2.0,,,,,,,,,,,,,,,,,False,,results/sensitivity/w2_f5_v0p5_c2p0,invalid,Lexicon manifest lacks combined positive/negative entries: JOWS/revisions/campaign_f123_20260914/package/results/sensitivity/w2_f5_v0p5_c2p0/lexicon_manifest.json,
w2_f5_v1p0_c2p0,2,5,1.0,2.0,,,,,,,,,,,,,,,,,False,,results/sensitivity/w2_f5_v1p0_c2p0,invalid,Lexicon manifest lacks combined positive/negative entries: JOWS/revisions/campaign_f123_20260914/package/results/sensitivity/w2_f5_v1p0_c2p0/lexicon_manifest.json,
w2_f5_v1p5_c2p0,2,5,1.5,2.0,,,,,,,,,,,,,,,,,False,,results/sensitivity/w2_f5_v1p5_c2p0,invalid,Lexicon manifest lacks combined positive/negative entries: JOWS/revisions/campaign_f123_20260914/package/results/sensitivity/w2_f5_v1p5_c2p0/lexicon_manifest.json,
w2_f5_v2p0_c2p0,2,5,2.0,2.0,,,,,,,,,,,,,,,,,False,,results/sensitivity/w2_f5_v2p0_c2p0,invalid,Lexicon manifest lacks combined positive/negative entries: JOWS/revisions/campaign_f123_20260914/package/results/sensitivity/w2_f5_v2p0_c2p0/lexicon_manifest.json,
w2_f8_v0p25_c2p0,2,8,0.25,2.0,,,,,,,,,,,,,,,,,False,,results/sensitivity/w2_f8_v0p25_c2p0,invalid,Lexicon manifest lacks combined positive/negative entries: JOWS/revisions/campaign_f123_20260914/package/results/sensitivity/w2_f8_v0p25_c2p0/lexicon_manifest.json,
w2_f8_v0p5_c2p0,2,8,0.5,2.0,,,,,,,,,,,,,,,,,False,,results/sensitivity/w2_f8_v0p5_c2p0,invalid,Lexicon manifest lacks combined positive/negative entries: JOWS/revisions/campaign_f123_20260914/package/results/sensitivity/w2_f8_v0p5_c2p0/lexicon_manifest.json,
w2_f8_v1p0_c2p0,2,8,1.0,2.0,,,,,,,,,,,,,,,,,False,,results/sensitivity/w2_f8_v1p0_c2p0,invalid,Lexicon manifest lacks combined positive/negative entries: JOWS/revisions/campaign_f123_20260914/package/results/sensitivity/w2_f8_v1p0_c2p0/lexicon_manifest.json,
w2_f8_v1p5_c2p0,2,8,1.5,2.0,,,,,,,,,,,,,,,,,False,,results/sensitivity/w2_f8_v1p5_c2p0,invalid,Lexicon manifest lacks combined positive/negative entries: JOWS/revisions/campaign_f123_20260914/package/results/sensitivity/w2_f8_v1p5_c2p0/lexicon_manifest.json,
w2_f8_v2p0_c2p0,2,8,2.0,2.0,,,,,,,,,,,,,,,,,False,,results/sensitivity/w2_f8_v2p0_c2p0,invalid,Lexicon manifest lacks combined positive/negative entries: JOWS/revisions/campaign_f123_20260914/package/results/sensitivity/w2_f8_v2p0_c2p0/lexicon_manifest.json,
w3_f1_v0p25_c2p0,3,1,0.25,2.0,178.0,103.0,75.0,3322.0,1775.0,6.0,ont_domain_density;ont_total_negativo_mentions;ont_InteligenciaArtificial_Negativo;ont_Innovacion_Positivo;ont_Tecnologia_Positivo;ont_total_positivo_mentions,1489.0,92.25526641883519,1408.0,87.2366790582404,14827.0,1901.0,9444.0,1985.0,100.0,True,0.0,results/sensitivity/w3_f1_v0p25_c2p0,passed,,
w3_f1_v0p5_c2p0,3,1,0.5,2.0,172.0,100.0,72.0,3322.0,1775.0,6.0,ont_domain_density;ont_total_negativo_mentions;ont_InteligenciaArtificial_Negativo;ont_Innovacion_Positivo;ont_Tecnologia_Positivo;ont_total_positivo_mentions,1489.0,92.25526641883519,1408.0,87.2366790582404,14827.0,1901.0,9444.0,1985.0,100.0,True,0.0,results/sensitivity/w3_f1_v0p5_c2p0,passed,,
w3_f1_v1p0_c2p0,3,1,1.0,2.0,151.0,89.0,62.0,3322.0,1775.0,8.0,ont_domain_density;ont_total_negativo_mentions;ont_InteligenciaArtificial_Negativo;ont_Innovacion_Positivo;ont_Tecnologia_Positivo;ont_AprendizajeAutomatico_Positivo;ont_total_positivo_mentions;ont_Innovacion_Neutro,1489.0,92.25526641883519,1408.0,87.2366790582404,14827.0,1901.0,9420.0,1981.0,100.0,True,0.0,results/sensitivity/w3_f1_v1p0_c2p0,passed,,
w3_f1_v1p5_c2p0,3,1,1.5,2.0,108.0,65.0,43.0,3322.0,1775.0,6.0,ont_domain_density;ont_total_negativo_mentions;ont_Innovacion_Positivo;ont_InteligenciaArtificial_Negativo;ont_AprendizajeAutomatico_Positivo;ont_Innovacion_Neutro,1489.0,92.25526641883519,1408.0,87.2366790582404,14827.0,1901.0,9346.0,1605.0,100.0,True,0.0,results/sensitivity/w3_f1_v1p5_c2p0,passed,,
w3_f1_v2p0_c2p0,3,1,2.0,2.0,47.0,24.0,23.0,3322.0,1775.0,4.0,ont_domain_density;ont_Innovacion_Neutro;ont_total_negativo_mentions;ont_Datos_Negativo,1489.0,92.25526641883519,1408.0,87.2366790582404,14827.0,1901.0,9138.0,1516.0,100.0,True,0.0,results/sensitivity/w3_f1_v2p0_c2p0,passed,,
w3_f2_v0p25_c2p0,3,2,0.25,2.0,59.0,40.0,19.0,3322.0,1775.0,8.0,ont_domain_density;ont_total_negativo_mentions;ont_InteligenciaArtificial_Negativo;ont_Etica_Negativo;ont_Innovacion_Neutro;ont_Robot_Negativo;ont_Tecnologia_Negativo;ont_Tecnologia_Neutro,1489.0,92.25526641883519,1408.0,87.2366790582404,14827.0,1901.0,9284.0,1784.0,100.0,True,0.0,results/sensitivity/w3_f2_v0p25_c2p0,passed,,
w3_f2_v0p5_c2p0,3,2,0.5,2.0,57.0,39.0,18.0,3322.0,1775.0,8.0,ont_domain_density;ont_total_negativo_mentions;ont_InteligenciaArtificial_Negativo;ont_Etica_Negativo;ont_Innovacion_Neutro;ont_Robot_Negativo;ont_Tecnologia_Negativo;ont_Tecnologia_Neutro,1489.0,92.25526641883519,1408.0,87.2366790582404,14827.0,1901.0,9284.0,1784.0,100.0,True,0.0,results/sensitivity/w3_f2_v0p5_c2p0,passed,,
w3_f2_v1p0_c2p0,3,2,1.0,2.0,50.0,35.0,15.0,3322.0,1775.0,7.0,ont_domain_density;ont_total_negativo_mentions;ont_InteligenciaArtificial_Negativo;ont_Etica_Negativo;ont_Innovacion_Neutro;ont_Tecnologia_Negativo;ont_Tecnologia_Neutro,1489.0,92.25526641883519,1408.0,87.2366790582404,14827.0,1901.0,9274.0,1768.0,100.0,True,0.0,results/sensitivity/w3_f2_v1p0_c2p0,passed,,
w3_f2_v1p5_c2p0,3,2,1.5,2.0,31.0,25.0,6.0,3322.0,1775.0,6.0,ont_domain_density;ont_total_negativo_mentions;ont_InteligenciaArtificial_Negativo;ont_Innovacion_Neutro;ont_Tecnologia_Negativo;ont_Tecnologia_Neutro,1489.0,92.25526641883519,1408.0,87.2366790582404,14827.0,1901.0,9224.0,1722.0,100.0,True,0.0,results/sensitivity/w3_f2_v1p5_c2p0,passed,,
w3_f2_v2p0_c2p0,3,2,2.0,2.0,13.0,10.0,3.0,3322.0,1775.0,5.0,ont_domain_density;ont_total_negativo_mentions;ont_Innovacion_Neutro;ont_InteligenciaArtificial_Negativo;ont_Tecnologia_Neutro,1489.0,92.25526641883519,1408.0,87.2366790582404,14827.0,1901.0,9066.0,1705.0,100.0,True,0.0,results/sensitivity/w3_f2_v2p0_c2p0,passed,,
